timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1544548257562,14590,HTTP Request,200,OK,Thread Group 2-1,text,true,,168467,399,1,2,http://localhost:8000/dashboard,,14573,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544548272154,12319,HTTP Request,200,OK,Thread Group 2-1,text,true,,168471,661,1,2,http://localhost:8000/dashboard,,12309,UTF-8,1,0,DESKTOP-E2HF8O5,0,2
1544548284474,10150,HTTP Request,200,OK,Thread Group 2-1,text,true,,168469,665,1,2,http://localhost:8000/dashboard,,10126,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544548294626,9258,HTTP Request,200,OK,Thread Group 2-1,text,true,,168467,663,1,2,http://localhost:8000/dashboard,,9249,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544548303884,9925,HTTP Request,200,OK,Thread Group 2-1,text,true,,168469,661,1,2,http://localhost:8000/dashboard,,9912,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544548313809,9574,HTTP Request,200,OK,Thread Group 2-1,text,true,,168469,663,1,2,http://localhost:8000/dashboard,,9564,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544548323385,9580,HTTP Request,200,OK,Thread Group 2-1,text,true,,168469,663,1,2,http://localhost:8000/dashboard,,9547,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544548332965,9240,HTTP Request,200,OK,Thread Group 2-1,text,true,,168475,663,1,2,http://localhost:8000/dashboard,,9230,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544548342205,10222,HTTP Request,200,OK,Thread Group 2-1,text,true,,168475,669,1,2,http://localhost:8000/dashboard,,10212,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544548352429,9566,HTTP Request,200,OK,Thread Group 2-1,text,true,,168469,669,1,2,http://localhost:8000/dashboard,,9556,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544548361995,9296,HTTP Request,200,OK,Thread Group 2-1,text,true,,168475,663,1,2,http://localhost:8000/dashboard,,9273,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544548371294,11657,HTTP Request,200,OK,Thread Group 2-1,text,true,,168469,669,1,2,http://localhost:8000/dashboard,,11646,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544548382952,9427,HTTP Request,200,OK,Thread Group 2-1,text,true,,168471,663,1,2,http://localhost:8000/dashboard,,9402,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544548392381,9791,HTTP Request,200,OK,Thread Group 2-1,text,true,,168471,665,1,2,http://localhost:8000/dashboard,,9774,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544548402173,9612,HTTP Request,200,OK,Thread Group 2-1,text,true,,168475,665,1,2,http://localhost:8000/dashboard,,9600,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544548411785,9430,HTTP Request,200,OK,Thread Group 2-1,text,true,,168471,669,1,2,http://localhost:8000/dashboard,,9421,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544548421216,9719,HTTP Request,200,OK,Thread Group 2-1,text,true,,168475,665,1,2,http://localhost:8000/dashboard,,9707,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544548430935,9781,HTTP Request,200,OK,Thread Group 2-1,text,true,,168467,669,1,2,http://localhost:8000/dashboard,,9770,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544548440717,9671,HTTP Request,200,OK,Thread Group 2-1,text,true,,168469,661,1,2,http://localhost:8000/dashboard,,9648,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544548450389,9670,HTTP Request,200,OK,Thread Group 2-1,text,true,,168469,663,1,2,http://localhost:8000/dashboard,,9660,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544548460061,9248,HTTP Request,200,OK,Thread Group 2-1,text,true,,168469,663,1,2,http://localhost:8000/dashboard,,9229,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544548469310,9485,HTTP Request,200,OK,Thread Group 2-1,text,true,,168469,663,1,2,http://localhost:8000/dashboard,,9462,UTF-8,1,0,DESKTOP-E2HF8O5,0,2
1544548478796,9328,HTTP Request,200,OK,Thread Group 2-1,text,true,,168471,663,1,2,http://localhost:8000/dashboard,,9308,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544548488125,9146,HTTP Request,200,OK,Thread Group 2-1,text,true,,168471,665,1,2,http://localhost:8000/dashboard,,9136,UTF-8,1,0,DESKTOP-E2HF8O5,0,3
1544548497271,9262,HTTP Request,200,OK,Thread Group 2-1,text,true,,168475,665,1,2,http://localhost:8000/dashboard,,9242,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544548506533,9696,HTTP Request,200,OK,Thread Group 2-1,text,true,,168467,669,1,2,http://localhost:8000/dashboard,,9678,UTF-8,1,0,DESKTOP-E2HF8O5,0,2
1544548516231,9200,HTTP Request,200,OK,Thread Group 2-1,text,true,,168469,661,1,2,http://localhost:8000/dashboard,,9180,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544548525432,9624,HTTP Request,200,OK,Thread Group 2-1,text,true,,168471,663,1,2,http://localhost:8000/dashboard,,9594,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544548535058,9608,HTTP Request,200,OK,Thread Group 2-1,text,true,,168469,665,1,2,http://localhost:8000/dashboard,,9587,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544548544668,9627,HTTP Request,200,OK,Thread Group 2-1,text,true,,168469,663,1,2,http://localhost:8000/dashboard,,9604,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544548554297,9478,HTTP Request,200,OK,Thread Group 2-1,text,true,,168469,663,1,2,http://localhost:8000/dashboard,,9455,UTF-8,1,0,DESKTOP-E2HF8O5,0,3
1544548563775,9438,HTTP Request,200,OK,Thread Group 2-1,text,true,,168467,663,1,2,http://localhost:8000/dashboard,,9428,UTF-8,1,0,DESKTOP-E2HF8O5,0,2
1544548573213,9277,HTTP Request,200,OK,Thread Group 2-1,text,true,,168467,661,1,2,http://localhost:8000/dashboard,,9267,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544548582492,9654,HTTP Request,200,OK,Thread Group 2-1,text,true,,168471,661,1,2,http://localhost:8000/dashboard,,9645,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544548592146,9277,HTTP Request,200,OK,Thread Group 2-1,text,true,,168475,665,1,2,http://localhost:8000/dashboard,,9268,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544548601424,9133,HTTP Request,200,OK,Thread Group 2-1,text,true,,168467,669,1,2,http://localhost:8000/dashboard,,9123,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544548610557,10803,HTTP Request,200,OK,Thread Group 2-1,text,true,,168467,661,1,2,http://localhost:8000/dashboard,,10785,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544548621362,9419,HTTP Request,200,OK,Thread Group 2-1,text,true,,168475,661,1,2,http://localhost:8000/dashboard,,9408,UTF-8,1,0,DESKTOP-E2HF8O5,0,2
1544548630780,10242,HTTP Request,200,OK,Thread Group 2-1,text,true,,168473,669,1,2,http://localhost:8000/dashboard,,10233,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544548641023,9199,HTTP Request,200,OK,Thread Group 2-1,text,true,,168475,667,1,2,http://localhost:8000/dashboard,,9179,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544548650223,9446,HTTP Request,200,OK,Thread Group 2-1,text,true,,168469,669,1,2,http://localhost:8000/dashboard,,9423,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544548659672,9731,HTTP Request,200,OK,Thread Group 2-1,text,true,,168467,663,1,2,http://localhost:8000/dashboard,,9720,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544548669403,9852,HTTP Request,200,OK,Thread Group 2-1,text,true,,168469,661,1,2,http://localhost:8000/dashboard,,9843,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544548679257,11066,HTTP Request,200,OK,Thread Group 2-1,text,true,,168475,663,1,2,http://localhost:8000/dashboard,,11056,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544548690324,9466,HTTP Request,200,OK,Thread Group 2-1,text,true,,168471,669,1,2,http://localhost:8000/dashboard,,9456,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544548699791,11890,HTTP Request,200,OK,Thread Group 2-1,text,true,,168469,665,1,2,http://localhost:8000/dashboard,,11878,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544548711682,14340,HTTP Request,200,OK,Thread Group 2-1,text,true,,168467,663,1,2,http://localhost:8000/dashboard,,14317,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544548726022,9200,HTTP Request,200,OK,Thread Group 2-1,text,true,,168471,661,1,2,http://localhost:8000/dashboard,,9190,UTF-8,1,0,DESKTOP-E2HF8O5,0,3
1544548735223,9438,HTTP Request,200,OK,Thread Group 2-1,text,true,,168475,665,1,2,http://localhost:8000/dashboard,,9404,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544548744661,9928,HTTP Request,200,OK,Thread Group 2-1,text,true,,168471,669,1,2,http://localhost:8000/dashboard,,9914,UTF-8,1,0,DESKTOP-E2HF8O5,0,2
1544548754591,9268,HTTP Request,200,OK,Thread Group 2-1,text,true,,168469,665,1,2,http://localhost:8000/dashboard,,9251,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544548763859,9160,HTTP Request,200,OK,Thread Group 2-1,text,true,,168467,663,1,2,http://localhost:8000/dashboard,,9133,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544548773021,9659,HTTP Request,200,OK,Thread Group 2-1,text,true,,168471,661,1,2,http://localhost:8000/dashboard,,9648,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544548782680,13012,HTTP Request,200,OK,Thread Group 2-1,text,true,,168469,665,1,2,http://localhost:8000/dashboard,,12997,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544548795694,16719,HTTP Request,200,OK,Thread Group 2-1,text,true,,168469,663,1,2,http://localhost:8000/dashboard,,16707,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544548812412,14762,HTTP Request,200,OK,Thread Group 2-1,text,true,,168473,663,1,2,http://localhost:8000/dashboard,,14728,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544548827175,13019,HTTP Request,200,OK,Thread Group 2-1,text,true,,168469,667,1,2,http://localhost:8000/dashboard,,13007,UTF-8,1,0,DESKTOP-E2HF8O5,0,3
1544548840196,15630,HTTP Request,200,OK,Thread Group 2-1,text,true,,168469,663,1,2,http://localhost:8000/dashboard,,15607,UTF-8,1,0,DESKTOP-E2HF8O5,0,0
1544548855826,15431,HTTP Request,200,OK,Thread Group 2-1,text,true,,168469,663,1,2,http://localhost:8000/dashboard,,15407,UTF-8,1,0,DESKTOP-E2HF8O5,0,2
1544548871258,12442,HTTP Request,200,OK,Thread Group 2-1,text,true,,168471,663,1,2,http://localhost:8000/dashboard,,12425,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
1544548883702,19101,HTTP Request,200,OK,Thread Group 2-1,text,true,,168467,665,1,2,http://localhost:8000/dashboard,,19078,UTF-8,1,0,DESKTOP-E2HF8O5,0,1
